Movie_Name,City,Theatre_Name,Ticket_Price,No_of_Tickets_Sold,Total_Revenue,Booking_Date,Release_Date
Merry Christmas,Ahmedabad,Cinepolis,439,65,28535,2024-12-23,2025-01-01
Tiger 3,Jaipur,Cinepolis,435,37,16095,2024-12-11,2024-12-31
Fighter,Bhopal,Wave Cinemas,393,175,68775,2024-10-24,2024-11-13
The Diplomat,Indore,Carnival Cinemas,507,193,97851,2024-11-12,2024-11-22
Jigra,Ahmedabad,Carnival Cinemas,461,156,71916,2024-11-10,2024-11-30
Emergency,Jaipur,Wave Cinemas,513,138,70794,2024-12-16,2024-12-26
Metro In Dino,Delhi,PVR,248,187,46376,2025-01-03,2025-01-21
Dunki,Chennai,Miraj Cinemas,330,133,43890,2024-11-23,2024-12-13
Salaar,Chennai,INOX,433,137,59321,2024-11-04,2024-11-17
Jigra,Lucknow,Miraj Cinemas,333,182,60606,2024-12-26,2025-01-25
The Crew,Ahmedabad,Carnival Cinemas,203,81,16443,2024-12-29,2025-01-20
Stree 2,Chandigarh,Wave Cinemas,301,193,58093,2024-11-06,2024-11-15
Chandu Champion,Indore,PVR,443,31,13733,2024-11-25,2024-12-15
Emergency,Delhi,Wave Cinemas,220,34,7480,2024-10-10,2024-11-05
Mr. and Mrs. Mahi,Delhi,Miraj Cinemas,514,116,59624,2024-10-23,2024-11-13
Bade Miyan Chote Miyan,Jaipur,PVR,362,18,6516,2024-12-26,2025-01-12
Merry Christmas,Lucknow,INOX,467,110,51370,2025-01-30,2025-02-06
Bade Miyan Chote Miyan,Mumbai,Carnival Cinemas,339,101,34239,2025-01-21,2025-02-05
Sam Bahadur,Kolkata,Miraj Cinemas,246,80,19680,2025-01-26,2025-02-14
Metro In Dino,Ahmedabad,PVR,285,199,56715,2024-11-19,2024-12-16
Jigra,Pune,INOX,366,51,18666,2024-12-11,2024-12-18
Merry Christmas,Chandigarh,Miraj Cinemas,343,148,50764,2025-01-03,2025-01-15
Merry Christmas,Mumbai,Carnival Cinemas,200,13,2600,2024-10-19,2024-11-05
Fighter,Pune,Wave Cinemas,305,42,12810,2025-01-06,2025-02-05
Pushpa 2,Bhopal,Cinepolis,588,127,74676,2025-01-20,2025-02-16
Pushpa 2,Bangalore,Wave Cinemas,271,98,26558,2025-01-10,2025-02-02
Sam Bahadur,Lucknow,Wave Cinemas,585,99,57915,2025-01-12,2025-02-05
Fighter,Delhi,Miraj Cinemas,464,162,75168,2024-10-24,2024-11-13
Bade Miyan Chote Miyan,Kolkata,INOX,510,94,47940,2024-11-04,2024-11-28
Guntur Kaaram,Chennai,Cinepolis,279,62,17298,2025-01-20,2025-02-19
Dunki,Chennai,Carnival Cinemas,555,143,79365,2024-11-05,2024-12-01
Tiger 3,Hyderabad,Carnival Cinemas,338,88,29744,2025-02-12,2025-02-24
Stree 2,Chandigarh,INOX,270,165,44550,2024-12-15,2025-01-13
Emergency,Lucknow,Carnival Cinemas,304,181,55024,2024-11-18,2024-12-06
Mr. and Mrs. Mahi,Pune,Cinepolis,296,101,29896,2024-12-18,2024-12-27
Chandu Champion,Lucknow,PVR,257,65,16705,2024-12-20,2025-01-09
Bhool Bhulaiyaa 3,Bhopal,Wave Cinemas,572,36,20592,2024-12-03,2024-12-14
Tiger 3,Hyderabad,Wave Cinemas,563,197,110911,2024-11-19,2024-12-05
Mr. and Mrs. Mahi,Ahmedabad,Cinepolis,570,44,25080,2025-02-01,2025-02-19
The Crew,Delhi,Wave Cinemas,482,128,61696,2024-11-08,2024-12-08
Pushpa 2,Mumbai,INOX,482,149,71818,2024-12-07,2024-12-15
Bade Miyan Chote Miyan,Ahmedabad,PVR,519,80,41520,2024-11-15,2024-12-01
Stree 2,Chandigarh,Miraj Cinemas,287,39,11193,2024-12-17,2025-01-16
Emergency,Ahmedabad,Miraj Cinemas,326,70,22820,2024-10-24,2024-11-18
Pushpa 2,Chandigarh,INOX,548,34,18632,2025-01-27,2025-02-16
Jigra,Bhopal,Cinepolis,460,165,75900,2025-01-20,2025-01-30
Chandu Champion,Bhopal,Wave Cinemas,392,131,51352,2024-12-23,2025-01-01
Yodha,Indore,INOX,337,199,67063,2025-01-22,2025-01-29
Bade Miyan Chote Miyan,Bangalore,Wave Cinemas,273,66,18018,2024-12-14,2024-12-25
Metro In Dino,Delhi,Miraj Cinemas,382,59,22538,2024-12-17,2025-01-04
Bade Miyan Chote Miyan,Hyderabad,Cinepolis,280,46,12880,2024-10-20,2024-11-09
Tiger 3,Bangalore,Carnival Cinemas,414,11,4554,2024-12-03,2024-12-30
Emergency,Bhopal,Wave Cinemas,202,191,38582,2024-12-14,2024-12-24
Metro In Dino,Bhopal,INOX,496,123,61008,2025-01-14,2025-02-09
Tiger 3,Hyderabad,INOX,375,112,42000,2024-12-31,2025-01-28
Singham Again,Chandigarh,Miraj Cinemas,187,87,16269,2024-11-07,2024-12-03
Jigra,Delhi,Wave Cinemas,273,179,48867,2025-01-02,2025-01-19
Singham Again,Ahmedabad,INOX,523,105,54915,2024-12-28,2025-01-06
Fighter,Delhi,PVR,330,120,39600,2025-01-26,2025-02-03
Chandu Champion,Mumbai,INOX,457,97,44329,2025-02-12,2025-02-20
Bade Miyan Chote Miyan,Chennai,PVR,428,149,63772,2025-01-16,2025-02-12
Stree 2,Lucknow,Carnival Cinemas,575,61,35075,2024-12-09,2024-12-20
War 2,Delhi,PVR,550,24,13200,2025-01-26,2025-02-07
Stree 2,Pune,PVR,369,98,36162,2024-12-15,2025-01-13
Animal,Indore,INOX,411,84,34524,2024-11-19,2024-12-18
Tiger 3,Pune,Carnival Cinemas,307,15,4605,2025-01-15,2025-02-08
Bhool Bhulaiyaa 3,Lucknow,INOX,481,98,47138,2024-12-17,2024-12-25
Pushpa 2,Hyderabad,Carnival Cinemas,438,28,12264,2024-12-12,2025-01-05
Bhool Bhulaiyaa 3,Indore,Cinepolis,435,151,65685,2024-10-23,2024-11-13
The Diplomat,Jaipur,Carnival Cinemas,221,90,19890,2024-10-23,2024-11-16
Guntur Kaaram,Ahmedabad,Carnival Cinemas,407,189,76923,2025-01-06,2025-01-23
Mr. and Mrs. Mahi,Chennai,Cinepolis,224,45,10080,2025-01-26,2025-02-08
Dunki,Mumbai,Cinepolis,485,40,19400,2024-11-26,2024-12-07
Singham Again,Indore,Miraj Cinemas,506,149,75394,2024-10-12,2024-11-09
Chandu Champion,Chennai,Miraj Cinemas,366,23,8418,2024-11-04,2024-11-18
The Diplomat,Kolkata,Miraj Cinemas,521,165,85965,2024-12-07,2024-12-29
Salaar,Ahmedabad,Wave Cinemas,560,185,103600,2024-12-10,2025-01-04
War 2,Bhopal,Carnival Cinemas,448,188,84224,2024-12-24,2025-01-07
Jigra,Chandigarh,Carnival Cinemas,238,182,43316,2025-01-25,2025-02-09
Metro In Dino,Indore,Cinepolis,398,197,78406,2024-11-30,2024-12-25
Animal,Lucknow,Wave Cinemas,432,52,22464,2024-11-28,2024-12-19
Sam Bahadur,Chandigarh,Carnival Cinemas,260,172,44720,2025-01-10,2025-02-03
Emergency,Bangalore,PVR,594,57,33858,2024-12-27,2025-01-03
Stree 2,Bhopal,PVR,397,164,65108,2024-11-09,2024-11-25
Merry Christmas,Chennai,Miraj Cinemas,307,112,34384,2025-02-05,2025-02-12
Jigra,Indore,PVR,557,142,79094,2025-01-01,2025-01-29
Mr. and Mrs. Mahi,Chennai,PVR,285,65,18525,2024-12-10,2024-12-29
Salaar,Bhopal,INOX,254,88,22352,2024-10-03,2024-11-01
Metro In Dino,Chennai,Carnival Cinemas,306,147,44982,2025-02-04,2025-02-21
Metro In Dino,Bhopal,Wave Cinemas,236,84,19824,2024-11-01,2024-11-19
Bhool Bhulaiyaa 3,Jaipur,INOX,212,88,18656,2024-12-22,2025-01-10
Bhool Bhulaiyaa 3,Jaipur,Carnival Cinemas,519,151,78369,2025-01-05,2025-01-17
Stree 2,Mumbai,Wave Cinemas,221,180,39780,2024-10-24,2024-11-20
War 2,Jaipur,Carnival Cinemas,479,72,34488,2024-11-06,2024-11-27
Mr. and Mrs. Mahi,Delhi,Miraj Cinemas,360,77,27720,2025-02-10,2025-02-24
Salaar,Mumbai,PVR,476,197,93772,2024-12-28,2025-01-04
Emergency,Bangalore,PVR,330,45,14850,2024-12-10,2024-12-18
Mr. and Mrs. Mahi,Pune,Wave Cinemas,223,167,37241,2024-12-23,2025-01-15
Animal,Delhi,Wave Cinemas,501,165,82665,2024-11-25,2024-12-08
Jigra,Jaipur,INOX,235,193,45355,2025-01-22,2025-02-09
Fighter,Bhopal,PVR,510,166,84660,2024-11-06,2024-11-22
The Crew,Hyderabad,Cinepolis,485,172,83420,2024-11-14,2024-12-02
The Diplomat,Jaipur,Carnival Cinemas,305,20,6100,2025-01-31,2025-02-14
Emergency,Chennai,Wave Cinemas,323,70,22610,2025-01-23,2025-02-06
Dunki,Mumbai,PVR,590,163,96170,2024-12-04,2024-12-30
Sam Bahadur,Bangalore,INOX,206,113,23278,2025-01-15,2025-01-29
Pushpa 2,Pune,Wave Cinemas,537,131,70347,2024-12-30,2025-01-25
Mr. and Mrs. Mahi,Indore,Wave Cinemas,508,153,77724,2025-01-22,2025-02-10
Emergency,Kolkata,INOX,325,23,7475,2025-01-11,2025-01-27
Dunki,Chandigarh,Miraj Cinemas,451,13,5863,2024-10-20,2024-11-06
Singham Again,Pune,Cinepolis,386,122,47092,2024-10-27,2024-11-13
Sam Bahadur,Pune,PVR,596,166,98936,2024-12-14,2024-12-29
Emergency,Bangalore,Wave Cinemas,536,28,15008,2025-01-08,2025-01-29
Bhool Bhulaiyaa 3,Indore,INOX,359,29,10411,2024-12-12,2025-01-04
The Diplomat,Chandigarh,Carnival Cinemas,324,136,44064,2024-12-24,2025-01-07
Merry Christmas,Indore,Carnival Cinemas,530,74,39220,2025-02-12,2025-02-22
Salaar,Kolkata,Wave Cinemas,445,57,25365,2024-11-01,2024-11-09
Pushpa 2,Chennai,Carnival Cinemas,244,114,27816,2024-12-17,2025-01-07
Stree 2,Indore,Wave Cinemas,532,109,57988,2025-01-26,2025-02-03
Mr. and Mrs. Mahi,Pune,PVR,507,88,44616,2024-12-05,2024-12-17
The Crew,Lucknow,Cinepolis,451,133,59983,2024-12-26,2025-01-06
Yodha,Lucknow,Wave Cinemas,485,48,23280,2024-11-02,2024-11-28
War 2,Lucknow,Wave Cinemas,250,108,27000,2025-02-20,2025-02-27
Pushpa 2,Chandigarh,PVR,519,186,96534,2024-11-16,2024-12-02
Animal,Pune,INOX,452,54,24408,2024-11-01,2024-11-13
Jigra,Jaipur,Miraj Cinemas,450,121,54450,2025-02-09,2025-02-20
Bade Miyan Chote Miyan,Bangalore,Carnival Cinemas,453,28,12684,2024-10-10,2024-11-02
Chandu Champion,Bangalore,Carnival Cinemas,460,153,70380,2024-12-14,2024-12-24
Sam Bahadur,Indore,PVR,333,118,39294,2024-12-30,2025-01-28
Singham Again,Ahmedabad,PVR,315,61,19215,2024-11-30,2024-12-29
Guntur Kaaram,Chandigarh,Wave Cinemas,513,32,16416,2024-12-30,2025-01-07
War 2,Indore,Carnival Cinemas,220,14,3080,2025-01-08,2025-01-30
Tiger 3,Indore,Carnival Cinemas,589,156,91884,2025-01-16,2025-01-31
Emergency,Bhopal,Cinepolis,415,98,40670,2024-10-13,2024-11-11
The Crew,Indore,Miraj Cinemas,283,103,29149,2024-11-24,2024-12-22
Salaar,Kolkata,PVR,470,126,59220,2024-12-31,2025-01-14
Pushpa 2,Chennai,Carnival Cinemas,425,67,28475,2025-02-01,2025-02-21
Metro In Dino,Mumbai,Miraj Cinemas,270,123,33210,2025-01-17,2025-02-10
Merry Christmas,Pune,INOX,382,41,15662,2024-10-17,2024-11-04
Fighter,Chandigarh,Cinepolis,223,167,37241,2025-01-21,2025-01-30
Emergency,Jaipur,PVR,225,67,15075,2024-12-27,2025-01-08
Animal,Kolkata,Wave Cinemas,493,164,80852,2025-02-09,2025-02-24
War 2,Lucknow,Cinepolis,276,102,28152,2024-12-21,2024-12-30
Metro In Dino,Kolkata,Wave Cinemas,455,48,21840,2025-01-04,2025-01-15
Jigra,Delhi,Wave Cinemas,373,186,69378,2024-12-01,2024-12-26
Bade Miyan Chote Miyan,Delhi,INOX,438,125,54750,2025-02-05,2025-02-21
Chandu Champion,Chandigarh,Wave Cinemas,547,16,8752,2024-11-27,2024-12-12
Fighter,Jaipur,Carnival Cinemas,309,160,49440,2024-11-05,2024-12-04
Bhool Bhulaiyaa 3,Indore,Carnival Cinemas,351,198,69498,2025-02-10,2025-02-24
Animal,Mumbai,Carnival Cinemas,399,189,75411,2024-12-01,2024-12-22
Singham Again,Indore,Carnival Cinemas,523,113,59099,2025-02-03,2025-02-15
Jigra,Ahmedabad,INOX,529,149,78821,2025-02-07,2025-02-15
Salaar,Kolkata,Carnival Cinemas,196,176,34496,2024-12-08,2024-12-24
Mr. and Mrs. Mahi,Delhi,Cinepolis,507,140,70980,2024-12-06,2024-12-20
Sam Bahadur,Chennai,INOX,482,142,68444,2025-01-31,2025-02-14
Yodha,Kolkata,Cinepolis,504,190,95760,2024-12-06,2024-12-30
War 2,Mumbai,Carnival Cinemas,484,134,64856,2025-02-09,2025-02-21
Jigra,Bhopal,Miraj Cinemas,327,84,27468,2024-12-19,2025-01-02
Pushpa 2,Chennai,Carnival Cinemas,255,131,33405,2024-10-30,2024-11-29
Salaar,Bangalore,PVR,428,140,59920,2024-11-17,2024-12-07
Tiger 3,Pune,Carnival Cinemas,407,147,59829,2024-12-24,2025-01-02
Stree 2,Pune,INOX,250,117,29250,2025-01-07,2025-01-29
Bade Miyan Chote Miyan,Chennai,Miraj Cinemas,198,187,37026,2024-11-17,2024-11-27
Animal,Chandigarh,INOX,435,137,59595,2025-01-23,2025-02-21
The Crew,Delhi,Wave Cinemas,510,151,77010,2024-12-12,2024-12-31
The Crew,Hyderabad,Wave Cinemas,366,152,55632,2024-11-14,2024-12-02
War 2,Delhi,INOX,444,111,49284,2025-01-21,2025-02-02
Dunki,Kolkata,Carnival Cinemas,305,138,42090,2025-01-15,2025-02-09
The Diplomat,Chandigarh,PVR,567,188,106596,2024-11-30,2024-12-24
Bhool Bhulaiyaa 3,Lucknow,INOX,218,118,25724,2024-12-05,2024-12-28
Fighter,Bangalore,Cinepolis,221,43,9503,2024-11-16,2024-12-08
Tiger 3,Ahmedabad,Wave Cinemas,184,41,7544,2025-01-11,2025-01-27
Dunki,Lucknow,INOX,435,37,16095,2025-02-07,2025-02-14
Emergency,Indore,Cinepolis,458,52,23816,2024-10-25,2024-11-10
Sam Bahadur,Indore,PVR,518,42,21756,2024-10-26,2024-11-15
Emergency,Pune,INOX,365,26,9490,2025-02-04,2025-02-26
Singham Again,Hyderabad,INOX,480,87,41760,2024-12-29,2025-01-13
Sam Bahadur,Ahmedabad,Wave Cinemas,454,116,52664,2024-12-17,2024-12-31
Singham Again,Bangalore,INOX,488,164,80032,2024-11-22,2024-12-06
Animal,Delhi,PVR,326,170,55420,2024-12-09,2024-12-18
Bhool Bhulaiyaa 3,Bhopal,INOX,544,48,26112,2024-12-02,2024-12-22
Tiger 3,Kolkata,Wave Cinemas,335,29,9715,2024-11-29,2024-12-27
Chandu Champion,Ahmedabad,PVR,543,175,95025,2024-12-31,2025-01-29
The Diplomat,Bangalore,INOX,434,34,14756,2024-10-30,2024-11-27
Jigra,Chennai,Wave Cinemas,257,155,39835,2024-11-15,2024-11-26
Bade Miyan Chote Miyan,Lucknow,Wave Cinemas,429,164,70356,2024-10-24,2024-11-11
Emergency,Delhi,INOX,578,82,47396,2024-12-20,2025-01-18
The Diplomat,Jaipur,PVR,518,84,43512,2024-11-09,2024-11-24
The Diplomat,Ahmedabad,PVR,206,59,12154,2025-02-01,2025-02-21
Sam Bahadur,Indore,INOX,393,61,23973,2025-01-26,2025-02-06
War 2,Bangalore,Wave Cinemas,523,109,57007,2024-12-01,2024-12-12
Metro In Dino,Jaipur,Miraj Cinemas,337,157,52909,2024-11-04,2024-11-25
Jigra,Jaipur,Carnival Cinemas,447,54,24138,2025-01-09,2025-02-08
Tiger 3,Delhi,INOX,203,130,26390,2024-10-30,2024-11-12
Emergency,Chandigarh,Cinepolis,472,58,27376,2024-11-11,2024-12-02
The Crew,Indore,PVR,342,12,4104,2024-11-16,2024-11-24
Emergency,Hyderabad,PVR,426,158,67308,2025-01-29,2025-02-16
Bhool Bhulaiyaa 3,Delhi,Carnival Cinemas,312,189,58968,2024-12-28,2025-01-11
Merry Christmas,Indore,Cinepolis,336,179,60144,2024-11-30,2024-12-20
Yodha,Delhi,Cinepolis,261,191,49851,2024-12-17,2025-01-10
Yodha,Bhopal,PVR,221,55,12155,2025-01-13,2025-02-07
Merry Christmas,Pune,Carnival Cinemas,319,194,61886,2024-12-21,2025-01-19
The Diplomat,Bangalore,Cinepolis,397,194,77018,2024-12-13,2025-01-08
Stree 2,Bangalore,Cinepolis,381,165,62865,2024-11-24,2024-12-15
Yodha,Chandigarh,Cinepolis,254,108,27432,2024-11-21,2024-12-14
Animal,Bhopal,PVR,255,180,45900,2024-10-27,2024-11-04
Yodha,Chennai,Cinepolis,406,184,74704,2025-01-15,2025-02-03
Pushpa 2,Indore,Carnival Cinemas,220,48,10560,2025-01-31,2025-02-23
Metro In Dino,Indore,Cinepolis,580,149,86420,2024-12-07,2024-12-25
Sam Bahadur,Pune,Wave Cinemas,348,103,35844,2024-11-25,2024-12-13
Mr. and Mrs. Mahi,Hyderabad,INOX,257,57,14649,2024-12-13,2024-12-31
Bhool Bhulaiyaa 3,Pune,Wave Cinemas,507,133,67431,2024-11-11,2024-12-03
Singham Again,Chandigarh,INOX,476,165,78540,2025-01-06,2025-01-18
Tiger 3,Chennai,Miraj Cinemas,402,181,72762,2025-01-21,2025-02-10
Bhool Bhulaiyaa 3,Chennai,Carnival Cinemas,301,150,45150,2025-01-17,2025-01-30
Pushpa 2,Chandigarh,Wave Cinemas,350,84,29400,2025-02-07,2025-02-17
Pushpa 2,Lucknow,Wave Cinemas,188,101,18988,2024-12-09,2024-12-16
Dunki,Bhopal,INOX,584,176,102784,2024-10-21,2024-11-20
Chandu Champion,Bhopal,INOX,200,45,9000,2024-11-04,2024-11-24
Emergency,Chennai,PVR,385,159,61215,2024-11-27,2024-12-20
Emergency,Bhopal,PVR,327,40,13080,2025-01-22,2025-01-29
Merry Christmas,Ahmedabad,Miraj Cinemas,315,112,35280,2024-12-23,2025-01-13
Sam Bahadur,Hyderabad,INOX,195,85,16575,2024-12-31,2025-01-27
Singham Again,Chennai,Cinepolis,297,119,35343,2024-12-26,2025-01-21
Bade Miyan Chote Miyan,Lucknow,Carnival Cinemas,340,71,24140,2024-12-27,2025-01-26
The Diplomat,Mumbai,INOX,445,100,44500,2024-12-24,2025-01-08
Salaar,Ahmedabad,INOX,247,104,25688,2024-11-26,2024-12-04
The Diplomat,Indore,Cinepolis,513,146,74898,2025-01-10,2025-01-30
Sam Bahadur,Chandigarh,Wave Cinemas,272,99,26928,2025-02-12,2025-02-25
Salaar,Hyderabad,PVR,559,173,96707,2024-11-14,2024-11-29
Salaar,Indore,Cinepolis,254,149,37846,2024-12-04,2025-01-03
Jigra,Pune,INOX,425,22,9350,2024-11-26,2024-12-16
Animal,Pune,Miraj Cinemas,474,118,55932,2024-12-26,2025-01-18
The Crew,Chennai,Wave Cinemas,549,162,88938,2024-12-22,2025-01-10
Bhool Bhulaiyaa 3,Chandigarh,Carnival Cinemas,255,24,6120,2024-12-01,2024-12-31
Metro In Dino,Ahmedabad,Miraj Cinemas,394,37,14578,2024-11-16,2024-12-15
The Diplomat,Jaipur,Cinepolis,469,142,66598,2025-01-17,2025-02-16
Metro In Dino,Chennai,Carnival Cinemas,414,97,40158,2025-02-06,2025-02-21
Sam Bahadur,Lucknow,PVR,236,65,15340,2024-12-19,2024-12-27
Pushpa 2,Chandigarh,PVR,326,47,15322,2024-12-09,2024-12-16
Emergency,Delhi,Miraj Cinemas,381,119,45339,2024-10-22,2024-11-07
Yodha,Chennai,PVR,301,168,50568,2024-12-20,2025-01-09
Yodha,Pune,Cinepolis,252,28,7056,2024-11-29,2024-12-26
Stree 2,Mumbai,INOX,373,164,61172,2024-11-12,2024-12-11
War 2,Indore,Wave Cinemas,320,195,62400,2024-12-19,2025-01-05
Bhool Bhulaiyaa 3,Mumbai,Cinepolis,403,118,47554,2024-12-28,2025-01-19
Merry Christmas,Pune,PVR,410,182,74620,2025-01-07,2025-01-16
The Crew,Kolkata,PVR,344,173,59512,2025-01-26,2025-02-21
The Crew,Pune,Carnival Cinemas,472,86,40592,2024-11-02,2024-11-17
The Crew,Delhi,Carnival Cinemas,553,37,20461,2024-10-11,2024-11-04
Chandu Champion,Mumbai,Cinepolis,488,149,72712,2025-01-12,2025-01-27
Emergency,Mumbai,INOX,415,188,78020,2024-11-09,2024-11-19
Fighter,Pune,PVR,549,51,27999,2024-12-03,2025-01-02
Metro In Dino,Jaipur,Cinepolis,455,101,45955,2025-01-30,2025-02-24
Sam Bahadur,Kolkata,Miraj Cinemas,296,169,50024,2024-11-05,2024-12-05
Pushpa 2,Jaipur,Carnival Cinemas,330,163,53790,2024-12-27,2025-01-07
Merry Christmas,Indore,Carnival Cinemas,450,105,47250,2024-12-20,2024-12-31
Animal,Bhopal,INOX,344,45,15480,2024-11-28,2024-12-20
Salaar,Indore,Miraj Cinemas,590,116,68440,2025-01-04,2025-01-13
Pushpa 2,Delhi,INOX,438,130,56940,2024-10-15,2024-11-06
Guntur Kaaram,Chandigarh,Cinepolis,339,42,14238,2025-01-18,2025-01-27
The Crew,Kolkata,Wave Cinemas,289,183,52887,2024-11-08,2024-11-21
Dunki,Mumbai,Miraj Cinemas,221,124,27404,2024-12-08,2024-12-22
Dunki,Lucknow,Miraj Cinemas,324,86,27864,2024-10-27,2024-11-15
Bhool Bhulaiyaa 3,Lucknow,PVR,357,135,48195,2025-02-13,2025-02-21
Yodha,Indore,Miraj Cinemas,212,159,33708,2025-01-12,2025-02-07
Jigra,Hyderabad,PVR,414,25,10350,2024-10-14,2024-11-07
Tiger 3,Ahmedabad,Carnival Cinemas,524,15,7860,2024-10-15,2024-11-02
Chandu Champion,Hyderabad,INOX,292,156,45552,2024-11-27,2024-12-06
Emergency,Lucknow,PVR,468,43,20124,2024-11-08,2024-12-03
Yodha,Lucknow,Cinepolis,349,154,53746,2024-10-26,2024-11-07
Metro In Dino,Lucknow,Miraj Cinemas,331,49,16219,2024-10-24,2024-11-11
The Diplomat,Mumbai,Carnival Cinemas,566,10,5660,2024-10-29,2024-11-13
Stree 2,Lucknow,Cinepolis,182,158,28756,2025-02-06,2025-02-18
Jigra,Chennai,Wave Cinemas,493,137,67541,2024-12-05,2024-12-14
Tiger 3,Kolkata,INOX,428,73,31244,2025-01-23,2025-02-03
Fighter,Hyderabad,Wave Cinemas,455,35,15925,2024-12-09,2024-12-31
Merry Christmas,Chennai,Cinepolis,352,36,12672,2024-12-22,2025-01-06
War 2,Chandigarh,Wave Cinemas,400,41,16400,2024-11-28,2024-12-07
Jigra,Indore,INOX,525,189,99225,2025-01-26,2025-02-22
The Crew,Chennai,Wave Cinemas,445,161,71645,2024-12-04,2024-12-16
War 2,Kolkata,Carnival Cinemas,311,80,24880,2024-12-29,2025-01-16
Bhool Bhulaiyaa 3,Hyderabad,Wave Cinemas,242,116,28072,2024-11-07,2024-11-17
Guntur Kaaram,Bhopal,Miraj Cinemas,398,149,59302,2025-02-06,2025-02-14
Chandu Champion,Hyderabad,PVR,255,167,42585,2024-11-18,2024-12-10
Yodha,Chandigarh,INOX,464,107,49648,2024-10-11,2024-11-05
Jigra,Bhopal,Cinepolis,329,175,57575,2024-12-18,2024-12-29
Merry Christmas,Ahmedabad,Miraj Cinemas,218,144,31392,2024-12-23,2025-01-05
Emergency,Lucknow,Carnival Cinemas,317,159,50403,2024-10-29,2024-11-09
Animal,Kolkata,Carnival Cinemas,211,90,18990,2025-01-02,2025-01-09
Mr. and Mrs. Mahi,Hyderabad,Carnival Cinemas,185,13,2405,2024-10-16,2024-11-10
Jigra,Bangalore,Miraj Cinemas,366,30,10980,2024-10-29,2024-11-11
Mr. and Mrs. Mahi,Bhopal,Wave Cinemas,470,40,18800,2024-12-14,2025-01-03
Tiger 3,Hyderabad,PVR,224,164,36736,2024-12-23,2025-01-09
Salaar,Pune,Cinepolis,536,75,40200,2025-02-08,2025-02-19
Fighter,Bangalore,Wave Cinemas,438,192,84096,2024-10-18,2024-11-02
Metro In Dino,Lucknow,Cinepolis,319,86,27434,2024-12-22,2025-01-20
Yodha,Kolkata,Carnival Cinemas,273,173,47229,2024-12-17,2025-01-09
Emergency,Delhi,Wave Cinemas,307,195,59865,2025-02-01,2025-02-26
The Diplomat,Mumbai,Miraj Cinemas,268,134,35912,2025-02-04,2025-02-25
Yodha,Jaipur,Wave Cinemas,425,126,53550,2024-11-04,2024-11-21
Yodha,Kolkata,PVR,186,85,15810,2024-10-30,2024-11-14
Sam Bahadur,Delhi,PVR,549,112,61488,2025-01-15,2025-02-02
Chandu Champion,Chandigarh,Wave Cinemas,383,190,72770,2025-01-19,2025-02-18
Guntur Kaaram,Ahmedabad,Miraj Cinemas,253,12,3036,2024-11-29,2024-12-18
Singham Again,Kolkata,Carnival Cinemas,394,129,50826,2025-01-13,2025-02-06
Animal,Hyderabad,Cinepolis,358,46,16468,2024-12-19,2025-01-07
Emergency,Bangalore,INOX,570,94,53580,2024-12-07,2024-12-16
Chandu Champion,Kolkata,Cinepolis,308,166,51128,2024-12-18,2025-01-12
War 2,Chandigarh,INOX,591,95,56145,2024-12-05,2024-12-31
Tiger 3,Jaipur,INOX,353,188,66364,2024-12-25,2025-01-07
Chandu Champion,Indore,PVR,297,116,34452,2025-01-25,2025-02-22
Bade Miyan Chote Miyan,Chandigarh,Miraj Cinemas,331,83,27473,2024-10-14,2024-11-08
Guntur Kaaram,Bangalore,Wave Cinemas,347,150,52050,2024-12-04,2024-12-19
Mr. and Mrs. Mahi,Hyderabad,Miraj Cinemas,223,162,36126,2024-10-25,2024-11-15
Bade Miyan Chote Miyan,Chennai,INOX,375,174,65250,2025-02-07,2025-02-15
The Crew,Delhi,PVR,415,100,41500,2024-12-10,2025-01-09
Fighter,Ahmedabad,Cinepolis,218,133,28994,2024-10-24,2024-11-16
Bade Miyan Chote Miyan,Pune,INOX,593,147,87171,2025-02-09,2025-02-26
Emergency,Indore,Miraj Cinemas,348,63,21924,2024-12-09,2025-01-04
Chandu Champion,Indore,INOX,551,198,109098,2024-12-06,2025-01-05
Bade Miyan Chote Miyan,Chennai,Cinepolis,348,122,42456,2024-12-04,2024-12-31
Stree 2,Jaipur,Miraj Cinemas,533,89,47437,2024-12-21,2025-01-12
Fighter,Bangalore,Cinepolis,417,65,27105,2024-10-24,2024-11-23
Metro In Dino,Pune,Carnival Cinemas,465,60,27900,2025-01-03,2025-01-25
Singham Again,Delhi,Carnival Cinemas,308,131,40348,2024-12-21,2025-01-14
The Diplomat,Delhi,PVR,449,110,49390,2025-01-09,2025-01-28
Guntur Kaaram,Bhopal,Wave Cinemas,198,26,5148,2025-01-29,2025-02-19
Dunki,Hyderabad,INOX,442,120,53040,2025-01-16,2025-02-02
Salaar,Jaipur,Cinepolis,413,188,77644,2025-01-30,2025-02-22
Pushpa 2,Jaipur,Cinepolis,538,198,106524,2024-12-10,2025-01-05
Guntur Kaaram,Bangalore,Miraj Cinemas,506,92,46552,2025-01-06,2025-01-18
Dunki,Ahmedabad,Cinepolis,396,116,45936,2025-01-21,2025-02-08
Jigra,Pune,Miraj Cinemas,593,71,42103,2024-12-11,2025-01-02
Singham Again,Bangalore,Wave Cinemas,183,140,25620,2024-12-27,2025-01-20
